"Category","Count","Notes"
"CRITICAL Findings","1","DCSync, critical ACL abuse"
"HIGH Findings","42","Tier 0 membership, unconstrained delegation, high-risk ACLs"
"MEDIUM Findings","17","Kerberoast, constrained delegation, stale accounts, orphaned adminCount"
"Total Unified Findings","60","All findings consolidated into 98-Unified-Findings.csv"
"---","0","---"
"Privileged Groups Enumerated","19","Well-known privileged groups discovered"
"Recursive Membership Rows","32","All direct and nested members under privileged groups"
"Tier 0 / DA-Equivalent Indicators","29","Objects in or nested into highly privileged groups"
"adminCount=1 Objects","25","Protected/AdminSDHolder-linked objects"
"User Risk Findings","6","Kerberoast, AS-REP roast, delegation"
"Computer Risk Findings","4","Delegation-related computer findings"
"DCSync-Capable Principals","4","Non-default: 1"
"Stale Privileged Accounts","4","Pwd > 365 days or logon > 180 days"
"AdminSDHolder ACL Findings","2","Mock ACL data"
"Domain/OU/PrivGroup ACL Findings","4","Mock ACL data"
"GPO Link Rows","4","Mock GPO data"
"Trust Rows","2","Mock trust data"
"LAPS Overview Rows","10","From cached computer objects"
